Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
San Antonio Spurs*,35.7,81.8,.436,6.6,19.9,.331,29.1,61.9,.470,14.9,19.6,.758,9.1,31.4,40.5,20.8,7.2,3.9,14.8,19.5,92.9
Toronto Raptors*,36.5,82.1,.444,8.7,23.4,.373,27.7,58.7,.473,16.5,22.1,.748,9.5,31.2,40.8,21.7,6.5,5.4,13.3,22.0,98.2
Cleveland Cavaliers*,36.8,82.1,.448,7.9,22.7,.347,28.9,59.4,.487,16.8,22.6,.743,9.3,31.8,41.0,21.4,7.2,4.4,13.3,20.6,98.3
Miami Heat*,37.2,84.3,.442,7.4,21.2,.347,29.9,63.1,.474,16.5,21.5,.770,9.8,31.5,41.3,20.2,7.5,4.1,12.9,19.6,98.4
Atlanta Hawks*,37.1,86.1,.432,8.3,24.5,.338,28.9,61.6,.469,16.7,22.1,.755,11.5,35.0,46.5,22.0,8.6,5.0,16.1,18.3,99.2
Los Angeles Clippers*,36.8,84.7,.434,7.9,23.3,.338,28.9,61.4,.471,18.8,25.1,.751,11.8,34.9,46.7,21.2,7.1,3.2,15.4,22.5,100.2
Indiana Pacers*,37.4,84.9,.440,8.3,24.8,.334,29.1,60.1,.484,17.4,23.2,.751,10.7,33.8,44.5,20.8,7.7,4.5,15.8,20.4,100.5
Charlotte Hornets*,37.8,85.0,.444,8.9,25.4,.349,28.9,59.6,.485,16.3,21.2,.769,8.9,35.8,44.7,23.2,6.7,5.5,13.5,20.4,100.7
Memphis Grizzlies*,35.9,78.8,.456,9.7,26.6,.365,26.2,52.1,.503,19.7,25.7,.768,10.1,33.1,43.2,21.9,7.0,5.7,16.2,21.1,101.3
Detroit Pistons*,38.8,84.2,.461,7.3,20.5,.355,31.5,63.7,.495,16.5,21.0,.783,8.8,33.7,42.5,21.5,7.1,4.5,13.4,21.6,101.4
Boston Celtics*,37.5,85.0,.441,7.8,23.3,.336,29.7,61.7,.481,19.7,26.0,.755,11.4,34.6,46.0,20.9,7.6,5.5,16.4,21.0,102.5
Dallas Mavericks*,38.3,85.0,.451,9.1,26.5,.342,29.3,58.5,.500,16.9,22.8,.738,10.6,35.2,45.8,22.0,7.5,4.4,13.9,21.4,102.6
Oklahoma City Thunder*,38.4,87.7,.438,8.1,23.8,.342,30.3,63.9,.474,18.0,23.8,.756,11.3,28.9,40.2,21.5,8.8,4.5,13.0,20.2,102.9
Golden State Warriors*,38.9,89.4,.435,7.8,23.5,.332,31.1,65.9,.472,18.6,24.5,.757,11.4,32.5,43.9,22.2,8.7,4.1,14.5,19.8,104.1
Portland Trail Blazers*,38.4,84.7,.453,8.5,23.0,.371,29.8,61.7,.484,19.0,26.0,.734,10.6,33.1,43.7,21.6,7.7,5.2,13.3,19.5,104.3
Houston Rockets*,39.0,85.1,.459,9.7,26.9,.361,29.3,58.2,.504,18.6,24.6,.756,11.8,32.8,44.6,24.6,9.0,4.9,16.6,22.5,106.4








